[2026-09-21T19:58:51.698Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (2ms, -698B)
[2026-09-21T19:58:51.698Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (28ms, -950B)
[2026-09-21T19:58:51.698Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (3ms, 994492B)
[2026-09-21T19:58:51.698Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (5ms, 21998B)
[2026-09-21T19:58:51.719Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (2ms, -815B)
[2026-09-21T19:58:51.721Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (2ms, -815B)
[2026-09-21T19:58:51.721Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (3ms, -815B)
[2026-09-21T19:58:51.721Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (3ms, -815B)
[2026-09-21T19:58:51.721Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (4ms, -815B)
[2026-09-21T19:58:55.203Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=16810 → 200 (1ms, 27111B)
[2026-09-21T19:58:55.217Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (1ms, -698B)
[2026-09-21T19:58:55.217Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (18ms, -950B)
[2026-09-21T19:58:55.217Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (1ms, 21998B)
[2026-09-21T19:58:55.224Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (1ms, -815B)
[2026-09-21T19:58:55.224Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (5ms, -815B)
[2026-09-21T19:58:55.224Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (6ms, -815B)
[2026-09-21T19:58:55.224Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (7ms, -815B)
[2026-09-21T19:58:55.225Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (6ms, -815B)
[2026-09-21T19:58:55.239Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (8ms, 994492B)
[2026-09-21T19:58:58.683Z] GET file:///C:/www/sysmicon/prototipo-web/index.html?v=27589 → 200 (1ms, 26004B)
